Q_PROGRESS,Q_FRIENDLY_GM,Q_MISSION,Q_BALANCE,Q_INVESTIGATION,Q_OPTIMIZE,Q_DRAMATIC,Q_STORY,Q_SACRIF_REALISM,Q_DILEMMAS,Q_RP_MECHANICS,Q_OPEN_STRUCT,Q_COCREATE,Q_OUT_OF_FICTION,Q_COHERENT,Q_DESCRIPTIONS,Q_HEROES,Q_CHAR_CHOICES,Q_GM_RULE,Q_DICE_CHEATING,Q_PLAYER_CONTROL,Q_RAILROAD,Q_RIVALRY,Q_CRYING,Q_LEADER,Q_ROUGH,Q_PRIDE,Q_MINIATURES,Q_PROPS,Q_TACTICAL_MAP,Q_PC_KILL,Q_SEP_PLOTS,Q_PC_DISTANCE,Q_META_GAMING,Q_RULES_STRICT,CQ_PLAY_FREQ,CQ_GM_FREQ,CQ_TENURE,CQ_AGE,CQ_SEX,MFQ_HARM,MFQ_FAIRNESS,MFQ_INGROUP,MFQ_AUTHORITY,MFQ_PURITY,MFQ_PROGRESSIVISM
4,3,4,2,4,3,4,4,3,4,3,3,3,3,5,5,2,5,2,2,3,1,2,2,3,3,3,5,2,5,4,3,1,1,5,3,3,4,4,2,"2,50","4,00","4,50","3,17","3,83","-0,58"
4,4,5,4,5,4,5,5,5,5,5,2,4,1,4,5,4,2,2,4,2,5,2,5,2,2,4,2,5,5,1,2,4,3,5,3,1,1,4,1,"4,33","4,17","2,50","1,83","1,33","2,36"
4,3,4,3,5,4,5,4,4,5,3,3,5,2,4,2,3,5,2,3,3,5,1,5,2,3,3,1,4,3,5,2,1,2,3,3,2,5,4,2,"4,33","3,33","3,83","2,67","2,33","0,89"
3,1,4,2,5,2,5,5,3,5,2,3,4,1,4,5,3,5,3,2,4,4,4,5,3,3,4,4,5,4,5,3,1,1,3,4,4,2,2,2,"3,50","3,50","1,50","2,83","2,83","1,11"
5,5,3,3,3,3,5,4,2,5,1,3,1,3,3,3,3,5,2,1,3,1,1,1,3,2,1,4,1,1,1,1,1,1,1,1,3,5,5,1,"5,00","5,00","2,33","2,00","2,67","2,67"
3,2,3,3,3,3,4,5,3,3,2,2,3,2,5,3,3,4,3,2,3,2,2,3,3,2,1,2,2,1,3,3,2,1,2,2,4,5,5,2,"4,33","4,50","2,67","2,67","3,00","1,64"
3,4,4,4,5,2,4,2,2,5,2,3,4,2,5,4,4,5,2,2,3,1,2,3,3,2,3,5,1,4,4,1,1,1,2,5,2,3,3,2,"4,00","3,83","2,67","1,50","2,50","1,69"
2,3,4,4,4,3,4,4,4,3,3,3,4,3,5,4,2,4,1,3,1,4,3,3,4,3,2,2,4,1,3,3,4,2,2,3,3,4,4,2,"5,00","4,50","4,33","4,67","4,67","0,19"
1,2,5,1,4,4,2,4,4,5,5,3,4,2,5,5,1,5,4,4,2,3,1,1,2,2,1,2,1,5,4,1,4,2,2,2,2,3,2,2,"3,50","2,33","2,33","2,33","3,00","0,36"
5,1,4,3,5,4,4,5,4,5,2,5,5,3,5,5,2,4,2,2,4,1,5,2,4,2,1,1,2,5,5,3,2,1,2,4,3,4,2,2,"4,17","5,00","2,00","1,67","2,00","2,69"
3,1,2,3,4,3,3,5,2,5,4,3,3,2,5,4,3,4,2,2,3,3,4,4,2,2,5,1,1,4,5,2,4,1,4,3,2,4,4,2,"3,50","3,67","2,33","2,83","2,83","0,92"
4,4,4,5,4,2,4,5,4,5,4,4,5,2,4,5,5,4,3,2,3,2,2,3,3,2,3,1,1,1,4,2,,2,2,2,4,1,2,2,"4,17","3,00","3,67","3,50","3,83","-0,08"
3,3,3,2,4,2,4,4,2,4,2,3,3,3,3,5,1,4,3,1,3,2,2,3,4,3,2,1,1,1,2,4,3,3,3,1,1,1,5,2,"3,83","4,00","2,67","2,17","2,33","1,53"
3,2,3,3,1,2,3,1,5,2,4,5,5,3,4,1,5,3,3,,4,2,,1,2,1,1,1,1,1,2,2,,2,2,4,4,3,3,2,"4,67","3,50","3,67","3,33","3,00","0,75"
3,5,4,3,3,3,5,5,3,5,3,3,5,5,5,5,3,5,1,1,3,1,1,2,3,2,1,2,2,2,4,2,3,3,3,5,4,5,4,2,"3,50","3,67","2,67","2,50","2,33","1,08"
4,4,3,4,4,3,4,3,3,3,2,3,4,4,3,3,3,4,2,2,4,2,1,3,3,2,2,4,2,4,3,2,4,4,2,1,4,2,2,2,"4,17","4,33","2,00","2,17","2,67","1,97"
5,5,4,4,4,3,3,4,4,4,3,2,3,3,5,5,5,5,4,3,3,4,1,1,3,1,1,3,3,4,4,2,4,2,2,4,4,4,4,2,"5,00","4,33","2,33","1,67","2,17","2,61"
4,3,1,3,3,2,5,4,5,5,3,2,5,1,4,5,4,5,4,3,3,5,1,1,2,2,1,5,4,5,1,3,1,1,1,3,1,1,4,2,"4,50","4,67","2,33","2,33","2,67","2,14"
5,2,3,2,4,3,4,5,4,5,2,1,4,4,5,2,2,4,2,3,,3,,2,4,2,1,2,5,1,2,2,,2,2,2,5,2,3,2,"4,50","3,67","3,50","3,17","2,83","0,92"
4,4,2,2,3,4,4,5,2,5,2,2,4,2,5,5,4,5,3,3,,1,2,5,2,2,2,2,4,4,4,4,2,1,2,2,3,5,5,,"4,17","3,83","2,50","1,83","2,17","1,83"
5,5,5,5,3,5,4,4,4,4,4,1,5,4,4,5,5,5,2,1,3,2,1,3,2,2,1,4,1,5,1,1,1,4,5,3,1,4,4,1,"4,50","4,17","2,67","2,33","3,00","1,67"
5,3,4,4,2,4,5,4,3,3,2,2,4,2,4,3,3,4,2,1,4,2,2,3,4,2,2,4,2,4,3,2,3,2,3,3,4,5,4,2,"4,17","3,67","2,50","2,17","2,00","1,69"
5,1,5,1,5,1,5,5,1,5,5,1,1,3,5,5,2,5,2,4,1,1,1,2,3,1,1,1,1,1,5,3,5,3,5,4,5,5,4,2,"4,50","4,33","2,50","1,67","3,00","2,03"
3,3,3,4,5,3,5,4,4,4,2,3,4,4,5,4,4,4,3,3,4,3,2,2,3,2,2,3,2,3,4,3,3,2,3,2,3,4,5,2,"4,17","4,50","3,33","2,67","2,50","1,50"
5,2,4,2,4,4,3,5,5,4,2,5,2,3,4,5,5,4,3,1,2,1,4,2,4,3,4,1,1,5,5,1,4,1,4,5,3,5,5,2,"2,83","3,33","3,50","3,83","2,67","-0,25"
2,3,3,3,5,2,4,5,3,4,5,5,4,4,4,4,4,4,3,1,2,1,3,3,1,2,1,1,3,1,3,2,2,3,,3,4,5,4,2,"4,50","4,50","3,33","2,50","3,17","1,50"
4,2,4,3,5,2,3,5,4,5,3,2,3,3,4,4,3,5,4,2,2,3,2,2,4,2,1,2,2,4,2,4,,1,2,3,5,5,4,2,"4,67","3,67","3,17","1,50","3,00","1,61"
5,1,4,5,2,4,4,2,4,5,1,5,5,2,4,4,1,5,3,3,2,2,5,4,2,2,2,5,1,5,4,2,2,4,2,4,4,3,2,2,"2,67","4,17","2,67","3,00","1,33","1,08"
2,4,2,2,4,2,5,4,3,5,3,5,5,2,4,4,3,4,2,1,4,1,2,3,4,2,1,1,1,3,3,4,3,2,2,5,4,5,4,2,"5,00","4,83","1,50","1,17","1,67","3,47"
5,4,4,3,3,4,2,3,3,3,3,3,4,5,4,4,4,3,2,1,3,3,1,3,2,2,1,3,1,5,5,2,2,4,4,3,1,3,4,2,"3,33","3,83","2,50","3,00","2,00","1,08"
4,3,5,2,5,1,4,5,4,4,2,3,3,1,4,4,2,5,4,2,2,3,2,4,3,2,5,4,1,5,5,1,5,1,5,5,4,2,2,2,"3,00","2,50","3,00","2,50","3,67","-0,31"
3,3,3,2,3,2,3,3,2,4,3,5,4,4,4,4,2,3,2,1,5,1,4,3,4,3,4,2,2,2,4,3,4,4,2,4,4,5,4,2,"4,00","3,83","4,50","3,67","3,67","-0,03"
4,2,5,1,4,2,4,4,1,4,2,5,3,4,4,3,2,3,3,2,2,1,2,4,2,2,4,2,2,1,5,2,2,4,3,3,1,5,5,2,"2,67","2,83","2,50","2,33","1,50","0,64"
4,2,2,2,5,3,3,5,4,5,3,3,3,1,5,4,3,5,1,4,3,2,4,3,1,2,3,1,5,5,5,4,1,1,2,3,3,1,2,2,"3,33","4,00","3,33","3,17","3,17","0,44"
5,2,5,2,5,4,5,5,3,5,2,2,4,2,5,4,4,4,3,2,3,3,4,1,4,3,1,1,3,1,5,1,1,1,3,3,4,3,4,2,"3,33","3,33","2,67","3,00","1,67","0,89"
2,3,4,3,4,1,5,4,3,5,1,5,3,2,5,4,3,5,2,4,5,1,2,1,3,1,1,1,1,4,3,3,1,1,1,2,3,2,2,1,"4,83","4,67","2,00","1,33","1,33","3,19"
2,3,2,4,4,2,4,5,3,4,4,5,5,2,5,4,3,5,2,2,3,1,3,2,3,2,2,2,2,4,2,4,2,1,3,3,3,5,4,1,"4,17","4,17","3,67","3,83","3,67","0,44"
4,1,4,4,2,4,5,5,4,5,2,2,2,1,5,4,2,5,1,2,2,2,1,5,3,2,1,1,1,5,2,2,1,1,4,2,3,4,2,1,"4,83","4,17","3,00","1,50","2,17","2,28"
5,2,4,1,3,2,4,4,2,4,4,4,3,3,5,3,4,5,3,1,5,1,1,1,3,2,5,2,1,4,5,3,5,5,4,3,4,5,4,2,"3,33","3,50","2,33","3,33","3,67","0,31"
4,1,5,3,2,2,3,3,4,4,3,3,5,3,5,5,1,5,2,4,4,3,3,5,3,2,3,2,4,4,4,3,2,1,1,3,4,4,3,2,"2,50","2,83","3,33","2,67","2,67","-0,22"
3,3,2,2,4,2,4,3,4,5,3,3,4,2,4,4,2,5,2,2,3,2,2,3,3,2,2,2,3,2,4,2,2,1,3,3,3,2,2,2,"3,33","3,00","3,33","3,17","4,00","-0,33"
5,2,3,5,3,2,4,4,2,5,4,4,5,3,5,4,4,4,2,1,3,1,1,1,1,2,1,3,1,4,4,1,1,4,4,3,4,5,4,2,"4,50","4,00","2,17","2,17","3,67","1,58"
5,2,4,3,5,2,4,5,2,5,4,3,4,4,5,5,1,5,2,2,2,4,4,3,4,2,1,1,3,3,5,1,2,1,3,3,3,2,3,2,"4,33","3,33","2,83","3,17","2,50","1,00"
4,5,3,2,3,2,5,5,4,5,5,5,5,4,5,5,3,3,2,1,4,1,1,2,3,1,2,1,1,2,3,4,2,5,5,4,3,2,3,2,"4,50","4,67","2,83","1,33","2,17","2,47"
3,4,4,3,5,3,4,5,2,5,2,4,3,3,4,4,3,5,2,1,3,2,2,3,3,2,3,1,2,2,3,3,3,3,2,5,3,5,4,1,"3,83","3,50","3,00","3,00","3,33","0,56"
4,2,4,2,5,4,2,5,4,5,3,3,5,2,5,5,2,4,2,2,3,3,4,4,4,2,3,3,3,2,2,2,2,2,2,4,3,3,2,2,"3,83","4,50","3,67","4,50","3,17","0,39"
4,4,3,2,4,4,2,5,2,5,2,4,4,4,4,2,3,4,2,2,4,1,4,3,4,2,4,3,2,1,5,2,1,3,4,3,1,5,5,2,"2,50","2,50","1,83","1,83","1,83","0,67"
4,4,2,4,2,2,5,4,3,3,3,5,5,2,4,3,4,4,3,2,4,2,1,3,2,3,2,2,1,3,3,1,3,2,3,3,2,4,3,2,"2,67","2,67","2,67","3,33","2,83","-0,28"
3,3,3,3,2,4,3,4,3,3,3,3,5,3,3,3,3,3,2,1,4,1,3,1,3,1,3,2,1,4,4,2,5,5,4,3,4,3,3,2,"3,67","4,00","2,00","2,83","2,33","1,44"
2,4,1,2,5,1,5,4,5,5,3,3,4,2,5,2,4,4,2,2,3,2,1,4,3,2,2,1,1,1,1,3,2,2,1,1,4,5,5,2,"4,17","4,50","2,67","2,33","2,83","1,72"
4,4,3,4,4,3,3,1,3,4,4,4,4,1,4,2,3,3,3,2,4,1,1,1,1,2,1,3,1,1,4,2,2,3,4,3,4,2,4,2,"4,50","5,00","2,00","1,83","1,83","2,86"
4,3,5,,5,2,4,5,4,5,2,2,4,2,5,4,2,5,2,,3,3,2,3,2,2,2,2,1,4,4,1,4,2,1,2,4,4,4,2,"4,00","4,00","1,67","2,17","2,00","2,06"
4,3,5,,4,2,3,4,3,4,2,1,4,4,4,3,3,3,3,2,2,3,3,1,3,2,1,1,3,1,4,1,5,2,4,2,4,5,4,2,"2,50","2,83","1,33","1,83","1,00","1,28"
4,2,4,4,4,3,5,4,4,5,2,2,4,2,4,5,4,4,3,3,3,3,1,2,2,2,1,1,3,5,4,2,,2,4,3,4,1,2,1,"4,83","4,83","2,50","1,00","1,83","3,06"
5,3,5,2,5,1,5,4,3,2,2,5,5,4,5,5,3,5,3,3,4,2,4,4,2,3,1,5,5,5,5,3,5,2,2,2,5,2,3,2,"4,17","3,50","3,00","4,33","3,83","0,11"
4,3,2,2,5,1,5,5,3,5,5,5,4,2,5,5,4,4,2,2,2,3,1,4,3,2,1,1,2,5,2,2,1,1,2,4,2,1,2,1,"3,67","3,67","2,83","3,00","3,00","0,72"
5,2,1,4,5,3,4,2,3,5,3,2,4,4,3,3,3,4,2,2,2,2,1,1,2,2,2,1,3,3,4,1,5,3,2,2,4,3,3,2,"2,50","3,33","2,33","2,67","2,50","0,42"
5,1,3,3,5,3,4,3,2,5,3,5,1,2,5,4,1,4,2,2,1,1,1,3,3,2,1,3,1,5,4,2,4,1,2,5,5,3,2,2,"2,67","3,67","3,67","4,00","3,83","-0,67"
4,2,3,3,5,2,4,2,4,5,5,4,5,5,3,4,4,4,3,2,3,2,1,2,4,2,2,2,1,4,4,2,5,3,4,2,4,5,4,2,"4,50","4,83","2,67","1,50","1,33","2,83"
4,3,4,4,5,2,4,5,4,4,1,1,5,4,3,5,3,5,4,4,2,3,1,1,3,2,2,1,4,3,4,2,5,1,1,1,4,5,5,2,"4,67","3,83","3,67","3,33","4,33","0,47"
3,3,4,3,3,3,3,3,4,3,5,3,5,5,5,3,3,3,1,1,5,1,1,3,2,1,1,1,1,3,5,2,4,5,5,4,4,5,5,2,"5,00","4,83","2,50","2,17","3,00","2,36"
4,2,4,2,5,4,4,5,4,3,3,4,2,4,4,5,4,5,3,1,3,1,4,3,4,2,3,2,1,4,1,1,3,1,3,3,2,1,2,2,"3,67","3,67","3,50","3,00","3,17","0,44"
4,2,3,2,5,3,4,2,3,4,4,3,2,5,4,3,3,3,2,3,3,4,1,3,4,2,2,1,1,3,5,2,3,3,2,3,4,3,2,2,"2,83","3,67","3,17","3,17","3,00","0,14"
4,3,4,3,2,2,4,5,2,5,3,5,5,1,5,5,1,5,2,1,4,1,2,1,4,1,1,5,1,4,4,3,1,1,4,4,4,5,4,2,"4,17","3,17","3,83","3,83","4,17","-0,28"
3,4,4,,2,3,4,4,4,5,2,4,5,4,4,4,4,4,1,2,3,2,1,4,3,2,1,3,2,3,3,2,2,3,1,2,3,2,3,,"4,00","4,00","1,83","1,67","1,67","2,28"
5,2,4,3,4,2,5,5,2,5,4,3,4,2,5,5,2,4,3,1,3,3,3,5,3,2,5,4,2,4,5,2,2,2,5,5,4,3,3,2,"3,67","3,83","3,33","2,83","2,50","0,86"
5,4,4,2,4,4,3,4,2,4,2,5,5,3,5,4,4,3,1,,4,1,1,2,5,2,3,2,1,4,2,2,2,2,5,3,2,5,4,2,"3,50","4,17","2,00","1,33","3,33","1,61"
4,3,2,3,2,2,4,5,4,5,4,4,5,2,4,4,3,4,1,2,3,2,2,3,3,2,2,2,3,2,4,3,2,2,2,5,3,5,5,2,"4,17","3,83","2,50","3,00","3,00","1,17"
2,3,3,1,4,3,2,2,2,3,3,5,4,3,4,3,1,3,2,1,4,1,2,2,4,2,1,4,2,4,4,1,2,3,4,5,4,5,5,2,"3,17","3,50","3,17","2,67","2,50","0,56"
2,3,4,1,2,2,5,2,4,4,3,3,4,5,4,2,4,4,2,1,4,1,2,1,3,2,1,3,2,3,4,2,2,2,3,4,3,5,4,2,"4,67","4,33","4,67","3,17","3,00","0,89"
3,2,3,1,3,3,2,1,1,4,1,5,2,4,5,5,2,4,3,1,4,1,1,1,1,2,1,3,1,3,4,2,4,4,2,4,3,5,4,2,"4,83","4,83","1,50","1,00","1,00","3,67"
5,2,5,2,5,2,4,2,3,5,4,4,2,3,5,5,1,4,2,2,4,4,1,1,4,2,1,2,2,3,4,3,4,1,2,2,1,4,4,2,"3,67","2,50","1,67","1,33","1,17","1,69"
4,3,3,3,4,5,4,5,4,4,3,3,3,4,5,3,4,4,3,1,3,2,2,3,3,2,3,2,1,4,4,2,4,3,3,5,4,4,3,2,"4,33","4,50","2,17","1,33","1,50","2,75"
1,5,2,,4,1,4,5,4,5,5,5,5,1,5,5,2,5,3,2,2,4,1,5,3,2,3,1,5,1,2,1,,1,,3,4,3,1,2,"4,33","4,00","3,67","4,67","4,33","-0,06"
5,2,4,3,2,4,3,3,2,5,2,3,4,2,5,4,3,5,3,3,2,3,2,4,3,3,4,1,3,4,5,2,3,1,4,4,4,4,3,2,"4,67","4,50","1,83","2,17","2,17","2,53"
5,1,5,4,5,4,4,3,2,4,3,3,5,2,5,4,5,4,4,4,3,3,3,3,5,3,1,1,1,4,5,1,3,2,4,3,3,5,5,2,"4,83","4,67","4,00","4,00","3,67","0,86"
5,2,3,2,5,1,2,4,2,5,3,2,4,1,5,4,1,5,3,2,2,4,2,5,2,2,1,1,5,1,2,2,2,2,2,4,3,2,2,2,"3,67","4,83","3,00","2,67","2,00","1,69"
5,3,4,4,4,4,3,5,3,5,2,4,5,2,5,5,3,5,2,2,3,1,1,3,3,2,1,2,3,5,2,2,1,3,3,2,4,5,5,2,"4,83","4,33","2,17","1,83","2,67","2,36"
3,2,3,2,1,3,4,3,2,5,5,3,4,3,5,3,3,4,1,1,3,1,1,2,2,2,2,2,1,4,4,2,4,2,4,2,4,5,5,2,"4,50","4,33","3,17","3,17","3,83","1,03"
5,4,4,4,3,5,1,5,1,3,5,2,1,5,5,3,1,2,1,1,3,4,3,1,3,1,4,1,2,5,2,1,5,4,5,2,1,1,2,2,"3,83","4,00","2,67","1,67","2,50","1,64"
4,3,2,3,5,4,4,4,4,5,1,3,4,3,4,3,2,4,3,2,2,3,2,3,4,2,2,2,2,2,2,2,1,1,2,4,3,2,3,1,"4,00","3,83","2,00","2,50","2,33","1,64"
4,3,4,1,2,5,3,3,4,5,3,3,5,3,5,3,2,4,2,3,2,4,1,3,4,2,3,3,2,5,5,1,4,4,4,4,4,3,2,2,"4,67","4,67","2,17","1,83","1,67","2,78"
1,2,3,1,2,1,3,1,2,4,4,4,1,3,2,4,2,5,4,1,2,1,1,1,1,2,1,3,1,1,2,1,1,1,4,5,4,5,4,2,"3,33","3,33","4,00","3,50","2,67","-0,06"
5,3,5,3,4,4,2,4,4,4,4,5,5,4,5,3,3,5,2,1,4,1,2,3,3,2,3,1,2,3,4,1,2,2,5,5,4,5,4,2,"4,67","4,17","3,50","3,17","3,00","1,19"
4,4,3,4,5,2,4,5,4,5,3,5,3,3,4,2,3,4,2,,3,2,1,2,2,2,1,1,1,1,2,2,4,2,2,3,4,5,4,2,"4,50","4,17","2,17","1,50","1,33","2,67"
5,2,4,3,3,3,4,5,3,4,4,5,5,2,4,4,5,5,2,3,2,1,4,4,5,1,4,3,3,3,3,2,1,3,2,3,3,5,4,2,"3,33","3,83","3,17","2,50","2,17","0,97"
1,3,3,3,5,2,4,4,4,5,1,3,4,3,3,4,2,4,1,2,3,3,1,4,2,2,2,3,4,3,4,2,4,1,1,1,4,5,5,2,"5,00","5,00","2,00","1,50","2,67","2,94"
4,2,3,2,2,5,4,4,4,5,5,5,4,3,4,3,4,4,3,2,4,1,4,4,4,3,4,3,1,3,4,5,2,2,4,4,3,4,3,2,"2,67","2,50","3,67","4,17","4,17","-1,42"
4,,3,3,4,2,4,4,4,4,2,3,3,2,3,4,3,4,2,2,2,2,,3,3,2,2,3,2,4,3,3,,2,2,2,4,2,2,2,"4,33","4,50","2,83","2,17","2,67","1,86"
3,,2,2,4,1,2,5,3,4,3,4,4,3,4,4,3,4,2,2,3,1,2,3,3,2,1,3,3,4,4,4,2,2,3,4,2,5,5,2,"4,00","3,33","3,00","2,50","2,00","1,17"
5,4,4,4,3,3,4,5,3,5,3,3,5,4,5,4,1,5,2,2,2,2,1,3,4,2,2,3,4,5,4,2,2,1,3,3,4,3,2,2,"3,33","4,17","3,83","3,17","3,33","0,31"
5,3,3,5,5,4,4,5,3,5,3,3,3,2,5,4,2,4,2,2,3,4,4,3,1,2,3,1,1,5,2,1,1,1,4,3,4,3,4,1,"3,83","3,50","3,83","2,17","2,67","0,78"
4,3,4,3,5,3,4,5,3,4,3,2,1,2,5,4,5,4,4,4,1,3,3,4,3,3,3,2,1,1,3,2,2,2,3,4,4,5,5,2,"4,33","4,00","2,50","2,50","3,33","1,39"
1,3,2,4,4,3,4,3,3,5,2,3,3,2,4,3,3,5,4,2,3,3,2,4,1,2,3,4,3,3,3,4,2,1,1,5,3,5,5,1,"5,00","4,17","2,67","2,17","2,83","2,03"
4,4,3,5,5,2,5,5,2,5,2,3,5,4,4,5,3,5,2,2,2,2,4,5,4,3,1,2,3,2,2,1,5,1,1,1,3,2,2,1,"3,17","3,67","3,67","3,50","3,17","-0,03"
5,3,4,1,2,2,3,3,4,5,5,4,3,3,4,4,3,4,3,1,3,2,2,2,4,3,1,3,1,4,5,2,2,1,4,5,2,2,2,2,"3,17","4,00","2,00","1,50","1,83","1,81"
4,3,4,2,4,5,2,4,3,4,4,3,4,3,4,4,3,5,2,1,3,2,3,3,4,2,2,4,4,5,4,2,2,3,4,4,3,5,2,2,"3,67","3,50","3,00","3,17","2,83","0,58"
